fold,cutoff,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,valid_positive_rate,best_iteration,roc_auc
1,2025-01-01,2024-02-01,2024-12-30,2025-01-02,2025-02-28,123855.0,7612,0.10759327377824487,671.0,0.7960802140104363
2,2025-03-01,2024-02-01,2025-02-28,2025-03-01,2025-03-31,131467.0,5053,0.09321195329507223,394.0,0.7910011574878529
3,2025-04-01,2024-02-01,2025-03-31,2025-04-01,2025-06-05,136520.0,8721,0.0784313725490196,693.0,0.7524366471734893
OOF_TIME_HOLDOUT,,,,,,,21386,0.09230337604040026,,0.7799897795595785
